Keyword,Keywords,,,,
jihad,jihad,,,,
hindutva,hindutva,,,,
hindutwa,hindutwa,,,,
Islam,Islam,,,,
hindu,hindu,,,,
Kashmir,Kashmir,,,,
Khalistan,Khalistan,,,,
rss,rss,,,,
christian,christian,,,,
buddhist,buddhist,,,,
black people,black people,,,,
dalit,dalit,,,,
SC/ST,SC/ST,,,,
Kafir,Kafir,,,,
isis,isis,,,,
Mandir,Mandir,,,,
masjid,masjid,,,,
taliban,taliban,,,,
Pakistan,Pakistan,,,,
terrorist,terrorist,,,,
terrorism,terrorism,,,,
victim,victim,,,,
violence,violence,,,,
extremist,extremist,,,,
secularist,secularist,,,,
jihadist ,jihadist ,,,,
mullah ,mullah ,,,,
JIHADI ,JIHADI ,,,,
ISLAMIST,ISLAMIST,,,,
naxals,naxals,,,,
Maoists,Maoists,,,,
honour killing,honour killing,,,,
rallies,rallies,,,,
rally,rally,,,,
hacked to death,hacked to death,,,,
allege,allege,,,,
violent extremism ,violent extremism ,,,,
community ,community ,,,,
anti hindus,anti hindus,,,,
molestation ,molestation ,,,,
beaten,beaten,,,,
mob,mob,,,,
injure,injure,,,,
brutally,brutally,,,,
incident,incident,,,,
wound,wound,,,,
bleed,bleed,,,,
bomb attack,bomb attack,,,,
riot,riot,,,,
gang rape,gang rape,,,,
mass rape,mass rape,,,,
Hindu gods ,Hindu gods ,,,,
riot happening,riot happening,,,,
